Entity,Code,Year,Risk taking (Falk et al. (2018) GPS)
Afghanistan,AFG,2012,0.12076426
Algeria,DZA,2012,0.39153048
Argentina,ARG,2012,0.041503169
Australia,AUS,2012,0.13713655
Austria,AUT,2012,-0.061829153
Bangladesh,BGD,2012,-0.19806775
Bolivia,BOL,2012,0.10303829
Bosnia and Herzegovina,BIH,2012,-0.12563907
Botswana,BWA,2012,0.69737917
Brazil,BRA,2012,-0.25059679
Cambodia,KHM,2012,-0.40463993
Cameroon,CMR,2012,-0.53505927
Canada,CAN,2012,0.18354815
Chile,CHL,2012,0.1253722
China,CHN,2012,-0.019810122
Colombia,COL,2012,-0.045174524
Costa Rica,CRI,2012,0.001672216
Croatia,HRV,2012,0.068436384
Czech Republic,CZE,2012,-0.020464402
Egypt,EGY,2012,-0.28089619
Estonia,EST,2012,-0.29543343
Finland,FIN,2012,-0.28276014
France,FRA,2012,-0.030104645
Georgia,GEO,2012,-0.08132492
Germany,DEU,2012,-0.044485882
Ghana,GHA,2012,0.6184504
Greece,GRC,2012,-0.15707357
Guatemala,GTM,2012,-0.21859027
Haiti,HTI,2012,0.019328011
Hungary,HUN,2012,-0.49845642
India,IND,2012,-0.2752474
Indonesia,IDN,2012,-0.3216432
Iran,IRN,2012,0.33787999
Iraq,IRQ,2012,0.16578853
Israel,ISR,2012,0.24376138
Italy,ITA,2012,-0.093646772
Japan,JPN,2012,-0.3558383
Jordan,JOR,2012,-0.12480165
Kazakhstan,KAZ,2012,0.24510741
Kenya,KEN,2012,0.2439042
Lithuania,LTU,2012,-0.045938365
Malawi,MWI,2012,0.47503826
Mexico,MEX,2012,-0.13891679
Moldova,MDA,2012,-0.034774207
Morocco,MAR,2012,-0.068959214
Netherlands,NLD,2012,0.18932624
Nicaragua,NIC,2012,-0.54722732
Nigeria,NGA,2012,0.3859835
Pakistan,PAK,2012,0.019619443
Peru,PER,2012,0.15494472
Philippines,PHL,2012,0.29464763
Poland,POL,2012,-0.073570997
Portugal,PRT,2012,-0.79243463
Romania,ROU,2012,-0.22955099
Russia,RUS,2012,-0.32336241
Rwanda,RWA,2012,-0.28969413
Saudi Arabia,SAU,2012,0.69574618
Serbia,SRB,2012,-0.12961876
South Africa,ZAF,2012,0.97059631
South Korea,KOR,2012,-0.039352082
Spain,ESP,2012,-0.15840179
Sri Lanka,LKA,2012,0.062705949
Suriname,SUR,2012,0.17821327
Sweden,SWE,2012,0.051853307
Switzerland,CHE,2012,-0.019343413
Tanzania,TZA,2012,0.49186715
Thailand,THA,2012,-0.12358965
Turkey,TUR,2012,0.023427222
Uganda,UGA,2012,0.16258633
Ukraine,UKR,2012,-0.21866788
United Arab Emirates,ARE,2012,0.086515002
United Kingdom,GBR,2012,0.048684672
United States,USA,2012,0.1165868
Venezuela,VEN,2012,0.24952252
Vietnam,VNM,2012,-0.008681621
Zimbabwe,ZWE,2012,0.52319479