Entity,Code,Year,15.1.1 - Forest area as a proportion of total land area (%) - AG_LND_FRST (%)
Luxembourg,LUX,2010,35.67901
Luxembourg,LUX,2015,35.67901
Macedonia,MKD,2000,37.98573
Macedonia,MKD,2005,38.65979
Macedonia,MKD,2010,39.57177
Macedonia,MKD,2015,39.57177
Madagascar,MDG,2000,22.38398
Madagascar,MDG,2005,22.066
Madagascar,MDG,2010,21.57614
Madagascar,MDG,2015,21.43864
Malawi,MWI,2000,37.83411
Malawi,MWI,2005,36.08401
Malawi,MWI,2010,34.3339
Malawi,MWI,2015,33.3793
Malaysia,MYS,2000,65.71602
Malaysia,MYS,2005,63.58241
Malaysia,MYS,2010,67.3383
Malaysia,MYS,2015,67.55441
Maldives,MDV,2000,3.33333
Maldives,MDV,2005,3.33333
Maldives,MDV,2010,3.33333
Maldives,MDV,2015,3.33333
Mali,MLI,2000,4.83531
Mali,MLI,2005,4.51159
Mali,MLI,2010,4.18787
Mali,MLI,2015,3.86415
Malta,MLT,2000,1.08438
Malta,MLT,2005,1.08438
Malta,MLT,2010,1.08438
Malta,MLT,2015,1.08438
Marshall Islands,MHL,2000,70.2
Marshall Islands,MHL,2005,70.2
Marshall Islands,MHL,2010,70.2
Marshall Islands,MHL,2015,70.2
Martinique,MTQ,2000,45.75472
Martinique,MTQ,2005,45.75472
Martinique,MTQ,2010,45.75472
Martinique,MTQ,2015,45.75472
Mauritania,MRT,2000,0.30756
Mauritania,MRT,2005,0.25905
Mauritania,MRT,2010,0.23479
Mauritania,MRT,2015,0.21781
Mauritius,MUS,2000,20.64039
Mauritius,MUS,2005,18.81773
Mauritius,MUS,2010,18.91626
Mauritius,MUS,2015,19.01478
Mayotte,MYT,2000,23.34225
Mayotte,MYT,2005,20.74866
Mayotte,MYT,2010,18.15508
Mayotte,MYT,2015,15.5615
Melanesia,OWID_MNS,2000,71.99426
Melanesia,OWID_MNS,2005,71.9486
Melanesia,OWID_MNS,2010,71.86294
Melanesia,OWID_MNS,2015,71.82952
Mexico,MEX,2000,34.90625
Mexico,MEX,2005,34.5086
Mexico,MEX,2010,34.20767
Mexico,MEX,2015,33.97207
Micronesia (country),FSM,2000,57.79695
Micronesia (country),FSM,2005,57.80663
Micronesia (country),FSM,2010,57.59222
Micronesia (country),FSM,2015,57.37782
Middle Africa,,2000,48.35874
Middle Africa,,2005,47.79123
Middle Africa,,2010,47.15809
Middle Africa,,2015,46.67677
Moldova,MDA,2000,9.85401
Moldova,MDA,2005,11.04015
Moldova,MDA,2010,11.73966
Moldova,MDA,2015,12.43917
Monaco,MCO,2000,0
Monaco,MCO,2005,0
Monaco,MCO,2010,0
Monaco,MCO,2015,0
Mongolia,MNG,2000,7.54203
Mongolia,MNG,2005,7.27877
Mongolia,MNG,2010,8.39311
Mongolia,MNG,2015,8.08002
Montenegro,MNE,2000,46.54275
Montenegro,MNE,2005,46.54275
Montenegro,MNE,2010,61.48699
Montenegro,MNE,2015,61.48699
Montserrat,MSR,2000,25
Montserrat,MSR,2005,25
Montserrat,MSR,2010,25
Montserrat,MSR,2015,25
Morocco,MAR,2000,11.18754
Morocco,MAR,2005,12.10173
Morocco,MAR,2010,12.70894
Morocco,MAR,2015,12.61931
Mozambique,MOZ,2000,52.37671
Mozambique,MOZ,2005,50.96645
Mozambique,MOZ,2010,49.55874
Mozambique,MOZ,2015,48.24639
Myanmar,MMR,2000,53.39009
Myanmar,MMR,2005,51.02131
Myanmar,MMR,2010,48.65101
Myanmar,MMR,2015,44.46775
Namibia,NAM,2000,9.75598
Namibia,NAM,2005,9.30535
Namibia,NAM,2010,8.85472
Namibia,NAM,2015,8.40409
Nauru,NRU,2000,0
Nauru,NRU,2005,0
Nauru,NRU,2010,0
Nauru,NRU,2015,0
Nepal,NPL,2000,27.20614
Nepal,NPL,2005,25.36449
Nepal,NPL,2010,25.36449
Nepal,NPL,2015,25.36449
Netherlands,NLD,2000,10.68566
Netherlands,NLD,2005,10.83408
Netherlands,NLD,2010,11.07153
Netherlands,NLD,2015,11.16058
New Caledonia,NCL,2000,45.89716
New Caledonia,NCL,2005,45.89716
New Caledonia,NCL,2010,45.89716
New Caledonia,NCL,2015,45.89716
New Zealand,NZL,2000,38.50594
New Zealand,NZL,2005,38.67305
New Zealand,NZL,2010,38.55152
New Zealand,NZL,2015,38.55532
Nicaragua,NIC,2000,31.69353
Nicaragua,NIC,2005,28.78511
Nicaragua,NIC,2010,25.87668
Nicaragua,NIC,2015,25.87668
Niger,NER,2000,1.04839
Niger,NER,2005,0.99945
Niger,NER,2010,0.9505
Niger,NER,2015,0.90156
Nigeria,NGA,2000,14.42406
Nigeria,NGA,2005,12.17541
Nigeria,NGA,2010,9.92677
Nigeria,NGA,2015,7.67812
Niue,NIU,2000,75.38462
Niue,NIU,2005,73.46154
Niue,NIU,2010,71.53846
Niue,NIU,2015,69.61538
Norfolk Island,NFK,2000,11.5
Norfolk Island,NFK,2005,11.5
Norfolk Island,NFK,2010,11.5
Norfolk Island,NFK,2015,11.5
North Korea,PRK,2000,57.57827
North Korea,PRK,2005,52.31293
North Korea,PRK,2010,47.05589
North Korea,PRK,2015,41.78224
Northern Africa,,2000,3.83916
Northern Africa,,2005,3.78566
Northern Africa,,2010,3.76774
Northern Africa,,2015,3.66355
Northern Africa (exc. Sudan),,2000,1.39764
Northern Africa (exc. Sudan),,2005,1.47276
Northern Africa (exc. Sudan),,2010,1.5945
Northern Africa (exc. Sudan),,2015,1.60316
Northern Africa and Western Asia,,2000,3.7922
Northern Africa and Western Asia,,2005,3.80182
Northern Africa and Western Asia,,2010,3.85042
Northern Africa and Western Asia,,2015,3.83784
Northern America,,2000,34.92141
Northern America,,2005,34.97475
Northern America,,2010,35.17253
Northern America,,2015,35.23375
Northern Europe,,2000,43.74176
Northern Europe,,2005,43.74457
Northern Europe,,2010,43.82238
Northern Europe,,2015,43.91933
Northern Mariana Islands,MNP,2000,69.48696
Northern Mariana Islands,MNP,2005,67.7
Northern Mariana Islands,MNP,2010,65.91087
Northern Mariana Islands,MNP,2015,64.12174
Norway,NOR,2000,39.82902
Norway,NOR,2005,39.75997
Norway,NOR,2010,39.79285
Norway,NOR,2015,39.82573
Oceania,,2000,20.93073
Oceania,,2005,20.79454
Oceania,,2010,20.26625
Oceania,,2015,20.44557
Oceania (exc. Australia and New Zealand),,2000,71.47063
Oceania (exc. Australia and New Zealand),,2005,71.47097
Oceania (exc. Australia and New Zealand),,2010,71.43083
Oceania (exc. Australia and New Zealand),,2015,71.39562
Oman,OMN,2000,0.00646
Oman,OMN,2005,0.00646
Oman,OMN,2010,0.00646
Oman,OMN,2015,0.00646
Pakistan,PAK,2000,2.74491
Pakistan,PAK,2005,2.46731
Pakistan,PAK,2010,2.18841
Pakistan,PAK,2015,1.90951
Palau,PLW,2000,86.0587
Palau,PLW,2005,87.61522
Palau,PLW,2010,87.61522
Palau,PLW,2015,87.61522
Palestine,PSE,2000,1.50831
Palestine,PSE,2005,1.52326
Palestine,PSE,2010,1.52326
Palestine,PSE,2015,1.52326
Panama,PAN,2000,65.46946
Panama,PAN,2005,64.32607
Panama,PAN,2010,63.20958
Panama,PAN,2015,62.10654
Papua New Guinea,PNG,2000,74.19512
Papua New Guinea,PNG,2005,74.1642
Papua New Guinea,PNG,2010,74.13549
Papua New Guinea,PNG,2015,74.10458
Paraguay,PRY,2000,48.74906
Paraguay,PRY,2005,46.50138
Paraguay,PRY,2010,42.66298
Paraguay,PRY,2015,38.56783
Peru,PER,2000,59.48984
Peru,PER,2005,59.00625
Peru,PER,2010,58.44609
Peru,PER,2015,57.79141
Philippines,PHL,2000,23.56709
Philippines,PHL,2005,23.72472
Philippines,PHL,2010,22.93993
Philippines,PHL,2015,26.96448
Pitcairn,PCN,2000,74.46809
Pitcairn,PCN,2005,74.46809
Pitcairn,PCN,2010,74.46809
Pitcairn,PCN,2015,74.46809
Poland,POL,2000,29.5862
Poland,POL,2005,30.0467
Poland,POL,2010,30.46801
Poland,POL,2015,30.8142
Polynesia,OWID_PYA,2000,42.77498
Polynesia,OWID_PYA,2005,45.76515
Polynesia,OWID_PYA,2010,48.75654
Polynesia,OWID_PYA,2015,48.67556
Portugal,PRT,2000,36.4934
Portugal,PRT,2005,35.98033
Portugal,PRT,2010,35.3581
Portugal,PRT,2015,34.73587
Puerto Rico,PRI,2000,50.74295
Puerto Rico,PRI,2005,52.18377
Puerto Rico,PRI,2010,54.04848
Puerto Rico,PRI,2015,55.91319
Qatar,QAT,2000,0
Qatar,QAT,2005,0
Qatar,QAT,2010,0
Qatar,QAT,2015,0
Reunion,REU,2000,34.66135
Reunion,REU,2005,33.86454
Reunion,REU,2010,35.05976
Reunion,REU,2015,35.05976
Romania,ROU,2000,27.66864
Romania,ROU,2005,27.77729
Romania,ROU,2010,28.31624
Romania,ROU,2015,29.82006
Russia,RUS,2000,49.41533
Russia,RUS,2005,49.38612
Russia,RUS,2010,49.77359
Russia,RUS,2015,49.76107
Rwanda,RWA,2000,13.94406
Rwanda,RWA,2005,15.606
Rwanda,RWA,2010,18.07864
Rwanda,RWA,2015,19.45683
Saint Barthlemy,,2000,0
Saint Barthlemy,,2005,0
Saint Barthlemy,,2010,0
Saint Barthlemy,,2015,0
Saint Helena,SHN,2000,5.12821
Saint Helena,SHN,2005,5.12821
Saint Helena,SHN,2010,5.12821
Saint Helena,SHN,2015,5.12821
Saint Kitts and Nevis,KNA,2000,42.30769
Saint Kitts and Nevis,KNA,2005,42.30769
Saint Kitts and Nevis,KNA,2010,42.30769
Saint Kitts and Nevis,KNA,2015,42.30769
Saint Lucia,LCA,2000,34.7541
Saint Lucia,LCA,2005,34.2623
Saint Lucia,LCA,2010,33.77049
Saint Lucia,LCA,2015,33.27869
Saint Martin (French part),MAF,2000,21.58491
Saint Martin (French part),MAF,2005,21.58491
Saint Martin (French part),MAF,2010,21.58491
Saint Martin (French part),MAF,2015,21.58491
Saint Pierre and Miquelon,SPM,2000,13.91304
Saint Pierre and Miquelon,SPM,2005,13.04348
Saint Pierre and Miquelon,SPM,2010,12.6087
Saint Pierre and Miquelon,SPM,2015,12.17391
Saint Vincent and the Grenadines,VCT,2000,66.66667
Saint Vincent and the Grenadines,VCT,2005,66.66667
Saint Vincent and the Grenadines,VCT,2010,69.23077
Saint Vincent and the Grenadines,VCT,2015,69.23077
Samoa,WSM,2000,60.42403
Samoa,WSM,2005,60.42403
Samoa,WSM,2010,60.42403
Samoa,WSM,2015,60.42403
San Marino,SMR,2000,0
San Marino,SMR,2005,0
San Marino,SMR,2010,0
San Marino,SMR,2015,0
Sao Tome and Principe,STP,2000,58.33333
Sao Tome and Principe,STP,2005,58.33333
Sao Tome and Principe,STP,2010,55.83333
Sao Tome and Principe,STP,2015,55.83333
Saudi Arabia,SAU,2000,0.45448
Saudi Arabia,SAU,2005,0.45448
Saudi Arabia,SAU,2010,0.45448
Saudi Arabia,SAU,2015,0.45448
Senegal,SEN,2000,46.21617
Senegal,SEN,2005,45.04753
Senegal,SEN,2010,44.00873
Senegal,SEN,2015,42.96993
Serbia,SRB,2000,28.12714
Serbia,SRB,2005,28.31008
Serbia,SRB,2010,31.01989
Serbia,SRB,2015,31.09993
Seychelles,SYC,2000,88.40435
Seychelles,SYC,2005,88.40435
Seychelles,SYC,2010,88.40435
Seychelles,SYC,2015,88.40435
Sierra Leone,SLE,2000,40.48213
Sierra Leone,SLE,2005,39.12441
Sierra Leone,SLE,2010,37.76669
Sierra Leone,SLE,2015,42.17235
Singapore,SGP,2000,23.06065
Singapore,SGP,2005,23.06065
Singapore,SGP,2010,23.06065
Singapore,SGP,2015,23.06065
Sint Maarten (Dutch part),SXM,2000,10.91176
Sint Maarten (Dutch part),SXM,2005,10.91176
Sint Maarten (Dutch part),SXM,2010,10.91176
Sint Maarten (Dutch part),SXM,2015,10.91176
Slovakia,SVK,2000,39.95258
Slovakia,SVK,2005,40.18136
Slovakia,SVK,2010,40.32694
Slovakia,SVK,2015,40.34774
Slovenia,SVN,2000,61.21355
Slovenia,SVN,2005,61.71001
Slovenia,SVN,2010,61.90859
Slovenia,SVN,2015,61.95824
Small Island Developing States (SIDS),,2000,68.21037
Small Island Developing States (SIDS),,2005,68.40889
Small Island Developing States (SIDS),,2010,68.57963
Small Island Developing States (SIDS),,2015,68.77669
Solomon Islands,SLB,2000,81.02894
Solomon Islands,SLB,2005,80.06431
Solomon Islands,SLB,2010,79.06395
Solomon Islands,SLB,2015,78.06359
Somalia,SOM,2000,11.97915
Somalia,SOM,2005,11.36704
Somalia,SOM,2010,10.75493
Somalia,SOM,2015,10.14283
South Africa,ZAF,2000,7.61774
South Africa,ZAF,2005,7.61774
South Africa,ZAF,2010,7.61774
South Africa,ZAF,2015,7.61774
South America,,2000,51.0058
South America,,2005,49.73436
South America,,2010,48.79086
South America,,2015,48.21127
South Eastern Asia,,2000,50.90943
South Eastern Asia,,2005,50.0226
South Eastern Asia,,2010,49.43992
South Eastern Asia,,2015,48.55634
South Korea,KOR,2000,64.52871
South Korea,KOR,2005,64.19006
South Korea,KOR,2010,63.8514
South Korea,KOR,2015,63.46144
South Sudan,SSD,2000,11.32921
South Sudan,SSD,2005,11.32921
South Sudan,SSD,2010,11.32921
South Sudan,SSD,2015,11.32921
Southern Africa,,2000,11.45673
Southern Africa,,2005,11.10248
Southern Africa,,2010,10.74785
Southern Africa,,2015,10.42567
Southern Asia,,2000,13.80375
Southern Asia,,2005,14.29903
Southern Asia,,2010,14.59396
Southern Asia,,2015,14.70031
Southern Europe,,2000,32.73349
Southern Europe,,2005,33.40729
Southern Europe,,2010,34.79927
Southern Europe,,2015,35.21507
Spain,ESP,2000,33.97692
Spain,ESP,2005,34.58763
Spain,ESP,2010,36.51916
Spain,ESP,2015,36.86073
Sri Lanka,LKA,2000,34.95455
Sri Lanka,LKA,2005,33.77452
Sri Lanka,LKA,2010,33.53532
Sri Lanka,LKA,2015,33.00909
Sub-Saharan Africa,,2000,28.9807
Sub-Saharan Africa,,2005,28.25433
Sub-Saharan Africa,,2010,27.48668
Sub-Saharan Africa,,2015,26.85122
Sub-Saharan Africa (inc. Sudan),,2000,27.62337
Sub-Saharan Africa (inc. Sudan),,2005,26.91734
Sub-Saharan Africa (inc. Sudan),,2010,26.17328
Sub-Saharan Africa (inc. Sudan),,2015,25.55103
Sudan,SDN,2000,11.69267
Sudan,SDN,2005,11.22549
Sudan,SDN,2010,10.7583
Sudan,SDN,2015,10.29111
Suriname,SUR,2000,98.66026
Suriname,SUR,2005,98.53205
Suriname,SUR,2010,98.40385
Suriname,SUR,2015,98.28205
Svalbard and Jan Mayen,SJM,2000,0
Svalbard and Jan Mayen,SJM,2005,0
Svalbard and Jan Mayen,SJM,2010,0
Svalbard and Jan Mayen,SJM,2015,0
Swaziland,SWZ,2000,30.11628
Swaziland,SWZ,2005,31.45349
Swaziland,SWZ,2010,32.73256
Swaziland,SWZ,2015,34.06977
Sweden,SWE,2000,69.1439
Sweden,SWE,2005,69.27893
Sweden,SWE,2010,68.92293
Sweden,SWE,2015,68.92293
Switzerland,CHE,2000,30.21561
Switzerland,CHE,2005,30.79765
Switzerland,CHE,2010,31.25316
Switzerland,CHE,2015,31.73398
Syria,SYR,2000,2.35256
Syria,SYR,2005,2.51048
Syria,SYR,2010,2.67386
Syria,SYR,2015,2.67386
Tajikistan,TJK,2000,2.9541
Tajikistan,TJK,2005,2.9541
Tajikistan,TJK,2010,2.9541
Tajikistan,TJK,2015,2.96851
Tanzania,TZA,2000,58.61368
Tanzania,TZA,2005,56.35584
Tanzania,TZA,2010,54.09799
Tanzania,TZA,2015,51.99819
Thailand,THA,2000,33.2968
Thailand,THA,2005,31.51363
Thailand,THA,2010,31.80528
Thailand,THA,2015,32.09889
Timor,TLS,2000,57.43107
Timor,TLS,2005,53.6651
Timor,TLS,2010,49.89913
Timor,TLS,2015,46.13315
Togo,TGO,2000,8.93547
Togo,TGO,2005,7.09689
Togo,TGO,2010,5.27671
Togo,TGO,2015,3.45652
Tokelau,TKL,2000,0
Tokelau,TKL,2005,0
Tokelau,TKL,2010,0
Tokelau,TKL,2015,0
Tonga,TON,2000,12.5
Tonga,TON,2005,12.5
Tonga,TON,2010,12.5
Tonga,TON,2015,12.5
Trinidad and Tobago,TTO,2000,45.53606
Trinidad and Tobago,TTO,2005,44.83431
Trinidad and Tobago,TTO,2010,44.13255
Trinidad and Tobago,TTO,2015,45.70682
Tunisia,TUN,2000,5.38749
Tunisia,TUN,2005,5.88955
Tunisia,TUN,2010,6.3723
Tunisia,TUN,2015,6.70057
Turkey,TUR,2000,13.23103
Turkey,TUR,2005,13.85341
Turkey,TUR,2010,14.55635
Turkey,TUR,2015,15.2216
Turkmenistan,TKM,2000,8.78216
Turkmenistan,TKM,2005,8.78216
Turkmenistan,TKM,2010,8.78216
Turkmenistan,TKM,2015,8.78216
Turks and Caicos Islands,TCA,2000,36.21053
Turks and Caicos Islands,TCA,2005,36.21053
Turks and Caicos Islands,TCA,2010,36.21053
Turks and Caicos Islands,TCA,2015,36.21053
Tuvalu,TUV,2000,33.33333
Tuvalu,TUV,2005,33.33333
Tuvalu,TUV,2010,33.33333
Tuvalu,TUV,2015,33.33333
Uganda,UGA,2000,19.29483
Uganda,UGA,2005,17.10054
Uganda,UGA,2010,13.7293
Uganda,UGA,2015,10.35807
Ukraine,UKR,2000,16.41665
Ukraine,UKR,2005,16.52885
Ukraine,UKR,2010,16.48225
Ukraine,UKR,2015,16.67041
United Arab Emirates,ARE,2000,4.36497
United Arab Emirates,ARE,2005,4.39313
United Arab Emirates,ARE,2010,4.46776
United Arab Emirates,ARE,2015,4.54238
United Kingdom,GBR,2000,12.21014
United Kingdom,GBR,2005,12.48708
United Kingdom,GBR,2010,12.64415
United Kingdom,GBR,2015,12.99549
United States,USA,2000,33.18269
United States,USA,2005,33.31617
United States,USA,2010,33.74941
United States,USA,2015,33.89972
United States Virgin Islands,VIR,2000,58.48571
United States Virgin Islands,VIR,2005,53.51429
United States Virgin Islands,VIR,2010,51.88571
United States Virgin Islands,VIR,2015,50.28571
Uruguay,URY,2000,7.82596
Uruguay,URY,2005,8.69501
Uruguay,URY,2010,9.89201
Uruguay,URY,2015,10.54165
Uzbekistan,UZB,2000,7.55054
Uzbekistan,UZB,2005,7.74565
Uzbekistan,UZB,2010,7.69981
Uzbekistan,UZB,2015,7.56911
Vanuatu,VUT,2000,36.09516
Vanuatu,VUT,2005,36.09516
Vanuatu,VUT,2010,36.09516
Vanuatu,VUT,2015,36.09516
Vatican,VAT,2000,0
Vatican,VAT,2005,0
Vatican,VAT,2010,0
Vatican,VAT,2015,0
Venezuela,VEN,2000,55.7236
Venezuela,VEN,2005,54.09331
Venezuela,VEN,2010,53.85749
Venezuela,VEN,2015,52.92557
Vietnam,VNM,2000,37.82049
Vietnam,VNM,2005,42.17435
Vietnam,VNM,2010,45.5639
Vietnam,VNM,2015,47.64408
Wallis and Futuna,WLF,2000,41.5
Wallis and Futuna,WLF,2005,41.5
Wallis and Futuna,WLF,2010,41.57143
Wallis and Futuna,WLF,2015,41.64286
Western Africa,,2000,11.95545
Western Africa,,2005,11.24405
Western Africa,,2010,10.54008
Western Africa,,2015,9.90649
Western Asia,,2000,3.71508
Western Asia,,2005,3.82837
Western Asia,,2010,3.98622
Western Asia,,2015,4.12409
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2000,2.95009
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2005,3.06434
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2010,3.19041
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2015,3.30344
Western Sahara,ESH,2000,2.65789
Western Sahara,ESH,2005,2.65789
Western Sahara,ESH,2010,2.65789
Western Sahara,ESH,2015,2.65789
World,OWID_WRL,2000,31.10528
World,OWID_WRL,2005,30.9248
World,OWID_WRL,2010,30.78939
World,OWID_WRL,2015,30.65805
Yemen,YEM,2000,1.03983
Yemen,YEM,2005,1.03983
Yemen,YEM,2010,1.03983
Yemen,YEM,2015,1.03983
Zambia,ZMB,2000,68.78489
Zambia,ZMB,2005,67.66435
Zambia,ZMB,2010,66.54381
Zambia,ZMB,2015,65.42326
Zimbabwe,ZWE,2000,48.84064
Zimbabwe,ZWE,2005,44.61419
Zimbabwe,ZWE,2010,40.38775
Zimbabwe,ZWE,2015,36.35001