Entity,Code,Year,"Reported Smallpox Cases (WHO, 2011)"
World,OWID_WRL,1920,401318
World,OWID_WRL,1921,303850
World,OWID_WRL,1922,190159
World,OWID_WRL,1923,174799
World,OWID_WRL,1924,186354
World,OWID_WRL,1925,284845
World,OWID_WRL,1926,324125
World,OWID_WRL,1927,327289
World,OWID_WRL,1928,272529
World,OWID_WRL,1929,267322
World,OWID_WRL,1930,360575
World,OWID_WRL,1931,182829
World,OWID_WRL,1932,211274
World,OWID_WRL,1933,328212
World,OWID_WRL,1934,327373
World,OWID_WRL,1935,331151
World,OWID_WRL,1936,263579
World,OWID_WRL,1937,149184
World,OWID_WRL,1938,144042
World,OWID_WRL,1939,186393
World,OWID_WRL,1940,235820
World,OWID_WRL,1941,195863
World,OWID_WRL,1942,124504
World,OWID_WRL,1943,210358
World,OWID_WRL,1944,407525
World,OWID_WRL,1945,405833
World,OWID_WRL,1946,302694
World,OWID_WRL,1947,163375
World,OWID_WRL,1948,161893
World,OWID_WRL,1949,632858
World,OWID_WRL,1950,426006
World,OWID_WRL,1951,554756
World,OWID_WRL,1952,167085
World,OWID_WRL,1953,94135
World,OWID_WRL,1954,99232
World,OWID_WRL,1955,91823
World,OWID_WRL,1956,96089
World,OWID_WRL,1957,156652
World,OWID_WRL,1958,280475
World,OWID_WRL,1959,96270
World,OWID_WRL,1960,67146
World,OWID_WRL,1961,90555
World,OWID_WRL,1962,98757
World,OWID_WRL,1963,133504
World,OWID_WRL,1964,76198
World,OWID_WRL,1965,112280
World,OWID_WRL,1966,92804
World,OWID_WRL,1967,131697
World,OWID_WRL,1968,80024
World,OWID_WRL,1969,54202
World,OWID_WRL,1970,33706
World,OWID_WRL,1971,52806
World,OWID_WRL,1972,65153
World,OWID_WRL,1973,135859
World,OWID_WRL,1974,218367
World,OWID_WRL,1975,19278
World,OWID_WRL,1976,954
World,OWID_WRL,1977,3234
World,OWID_WRL,1978,2
World,OWID_WRL,1979,0
World,OWID_WRL,1980,0
World,OWID_WRL,1981,0
World,OWID_WRL,1982,0
World,OWID_WRL,1983,0
World,OWID_WRL,1984,0
World,OWID_WRL,1985,0
World,OWID_WRL,1986,0
World,OWID_WRL,1987,0
World,OWID_WRL,1988,0
World,OWID_WRL,1989,0
World,OWID_WRL,1990,0
World,OWID_WRL,1991,0
World,OWID_WRL,1992,0
World,OWID_WRL,1993,0
World,OWID_WRL,1994,0
World,OWID_WRL,1995,0
World,OWID_WRL,1996,0
World,OWID_WRL,1997,0
World,OWID_WRL,1998,0
World,OWID_WRL,1999,0
World,OWID_WRL,2000,0
World,OWID_WRL,2001,0
World,OWID_WRL,2002,0
World,OWID_WRL,2003,0
World,OWID_WRL,2004,0
World,OWID_WRL,2005,0
World,OWID_WRL,2006,0
World,OWID_WRL,2007,0
World,OWID_WRL,2008,0
World,OWID_WRL,2009,0
World,OWID_WRL,2010,0
World,OWID_WRL,2011,0
World,OWID_WRL,2012,0
World,OWID_WRL,2013,0
World,OWID_WRL,2014,0
World,OWID_WRL,2015,0
World,OWID_WRL,2016,0