Entity,Code,Year,Marine Energy (USD),Geothermal Energy (USD),Small Hydropower (USD),Liquid Biofuels (USD),Biomass & Waste-to-Energy (USD),Wind Energy (USD),Solar Energy (USD)
World,OWID_WRL,2004,0,1200000000,2700000000,4000000000,8300000000.000001,19600000000,11200000000
World,OWID_WRL,2005,100000000,1200000000,7400000000,9900000000,9800000000,28500000000,15900000000
World,OWID_WRL,2006,800000000,1400000000,7500000000,28600000000,12800000000,39700000000,21900000000
World,OWID_WRL,2007,800000000,1700000000,6400000000,27400000000,23000000000,61100000000,38900000000
World,OWID_WRL,2008,200000000,1700000000,7600000000,18400000000,17500000000,74800000000,61300000000
World,OWID_WRL,2009,300000000,2800000000,6200000000,10200000000,15000000000,79700000000,64000000000
World,OWID_WRL,2010,200000000,2900000000,8100000000,10500000000,16600000000.000002,101600000000,103600000000
World,OWID_WRL,2011,200000000,3900000000,7500000000,10600000000,19900000000,84200000000,154900000000
World,OWID_WRL,2012,300000000,1600000000,6400000000,7200000000,14900000000,84400000000,140600000000
World,OWID_WRL,2013,200000000,2900000000,5600000000,5200000000,12400000000,89000000000,119100000000
World,OWID_WRL,2014,300000000,2900000000,6400000000,5300000000,10800000000,108500000000,143900000000
World,OWID_WRL,2015,200000000,2300000000,3500000000,3500000000,6700000000,124200000000,171700000000
World,OWID_WRL,2016,200000000,2700000000,3500000000,2200000000,6800000000,112500000000,113700000000