Entity,Code,Year,Ozone depleting emissions (Index 1986 = 100) ((1986 = 100))
World,OWID_WRL,1986,100
World,OWID_WRL,1989,127.65
World,OWID_WRL,1990,75.09
World,OWID_WRL,1991,68.67
World,OWID_WRL,1992,66.03
World,OWID_WRL,1993,58.9
World,OWID_WRL,1994,37.77
World,OWID_WRL,1995,31.27
World,OWID_WRL,1996,22.5
World,OWID_WRL,1997,20.73
World,OWID_WRL,1998,25.97
World,OWID_WRL,1999,22.1
World,OWID_WRL,2000,20.21
World,OWID_WRL,2001,15.97
World,OWID_WRL,2002,12.5
World,OWID_WRL,2003,13.1
World,OWID_WRL,2004,9.71
World,OWID_WRL,2005,7.12
World,OWID_WRL,2006,6.64
World,OWID_WRL,2007,4.73
World,OWID_WRL,2008,3.36
World,OWID_WRL,2009,3.78
World,OWID_WRL,2010,3.36
World,OWID_WRL,2011,3.08
World,OWID_WRL,2012,3.37
World,OWID_WRL,2013,2.24
World,OWID_WRL,2014,2.37
World,OWID_WRL,2015,1.77
World,OWID_WRL,2016,1.64