Entity,Code,Year,Wind,Solar PV,Solar Thermal,Solar PV-Thermal Hybrid,Geothermal,Hydropower,Marine,Other,Bioenergy
World,OWID_WRL,2000,1885,3060,2100,660,128,918,235,35,1879
World,OWID_WRL,2001,2274,3222,2221,691,188,819,263,12,1820
World,OWID_WRL,2002,2936,3113,2549,614,234,984,237,29,2007
World,OWID_WRL,2003,3185,3616,2416,818,242,1072,251,18,2090
World,OWID_WRL,2004,3248,4024,2808,749,254,1234,514,31,2323
World,OWID_WRL,2005,3685,4749,3028,872,253,1252,553,11,2844
World,OWID_WRL,2006,4254,5816,4396,1182,352,1594,668,29,4081
World,OWID_WRL,2007,6192,8085,5635,1435,503,2039,924,61,5898
World,OWID_WRL,2008,8411,11600,8025,1943,578,2573,1064,53,7128
World,OWID_WRL,2009,11180,17152,10530,2419,897,3249,1485,62,7984
World,OWID_WRL,2010,12741,21844,12312,2911,726,3396,1533,74,8433
World,OWID_WRL,2011,13549,24771,11769,2871,830,3848,1376,104,9021
World,OWID_WRL,2012,12748,24653,11482,2944,832,3853,1402,127,8841
World,OWID_WRL,2013,9820,19967,9932,2792,749,3255,1360,168,7754
World,OWID_WRL,2014,8812,14655,7849,2952,661,3192,1308,206,7167
World,OWID_WRL,2015,5908,9554,5971,2605,371,2324,821,308,4681
World,OWID_WRL,2016,1812,3036,1880,946,165,729,270,113,1509