Entity,Code,Year,Cost of closing the poverty gap in int-$ 2011 (PovcalNet (World Bank) (2017)) ($)
Albania,ALB,1981,0
Albania,ALB,1984,201115
Albania,ALB,1987,427196
Albania,ALB,1990,684484.5
Albania,ALB,1993,1568003.5
Albania,ALB,1996,4176950.5
Albania,ALB,1999,10999603.5
Albania,ALB,2002,8249182.5
Albania,ALB,2005,3757383
Albania,ALB,2008,1432077.5
Albania,ALB,2010,3027127.5
Albania,ALB,2011,3620070
Albania,ALB,2012,4424530
Albania,ALB,2013,4022300.0000000005
Angola,AGO,1981,1137686750
Angola,AGO,1984,1235350968
Angola,AGO,1987,1315899606
Angola,AGO,1990,1390129766
Angola,AGO,1993,1494336463
Angola,AGO,1996,1597972409
Angola,AGO,1999,1696966760
Angola,AGO,2002,1826668598
Angola,AGO,2005,1981083308
Angola,AGO,2008,1312612416
Angola,AGO,2010,1433345218
Angola,AGO,2011,1466763596
Angola,AGO,2012,1463402895
Angola,AGO,2013,1392076420
Argentina,ARG,1981,36281146
Argentina,ARG,1984,15803478
Argentina,ARG,1987,0
Argentina,ARG,1990,102668514
Argentina,ARG,1993,259455687.5
Argentina,ARG,1996,625148640
Argentina,ARG,1999,576506550
Argentina,ARG,2002,1314964768
Argentina,ARG,2005,555078787
Argentina,ARG,2008,362864859.5
Argentina,ARG,2010,252260625
Argentina,ARG,2011,218499658
Argentina,ARG,2012,205214278.5
Argentina,ARG,2013,256282924.99999997
Armenia,ARM,1981,19442272.5
Armenia,ARM,1984,29432833.5
Armenia,ARM,1987,44390935
Armenia,ARM,1990,63338742
Armenia,ARM,1993,202859846
Armenia,ARM,1996,105962639
Armenia,ARM,1999,87216640.5
Armenia,ARM,2002,68320152.5
Armenia,ARM,2005,18995658.5
Armenia,ARM,2008,6613216
Armenia,ARM,2010,8416316
Armenia,ARM,2011,8650719
Armenia,ARM,2012,6819879
Armenia,ARM,2013,11611964
Azerbaijan,AZE,1981,9550882
Azerbaijan,AZE,1984,10935108
Azerbaijan,AZE,1987,12423359
Azerbaijan,AZE,1990,13903288
Azerbaijan,AZE,1993,49932000
Azerbaijan,AZE,1996,101711484
Azerbaijan,AZE,1999,52574235
Azerbaijan,AZE,2002,0
Azerbaijan,AZE,2005,0
Azerbaijan,AZE,2008,9720096
Azerbaijan,AZE,2010,13179967.5
Azerbaijan,AZE,2011,8903153
Azerbaijan,AZE,2012,8384415.000000001
Azerbaijan,AZE,2013,8492601
Bangladesh,BGD,1981,5020773560
Bangladesh,BGD,1984,5394808624
Bangladesh,BGD,1987,6357460135
Bangladesh,BGD,1990,7599603242
Bangladesh,BGD,1993,7182629432
Bangladesh,BGD,1996,6964244895
Bangladesh,BGD,1999,7375199125
Bangladesh,BGD,2002,6698313305
Bangladesh,BGD,2005,4658731885
Bangladesh,BGD,2008,3752615188
Bangladesh,BGD,2010,3480414357
Bangladesh,BGD,2011,2766135710
Bangladesh,BGD,2012,2433405506
Bangladesh,BGD,2013,2016323510
Belarus,BLR,1981,4040331
Belarus,BLR,1984,4810809.5
Belarus,BLR,1987,5609028
Belarus,BLR,1990,4240059
Belarus,BLR,1993,1420288
Belarus,BLR,1996,23956264
Belarus,BLR,1999,179638692
Belarus,BLR,2002,31486287
Belarus,BLR,2005,4689447
Belarus,BLR,2008,0
Belarus,BLR,2010,0
Belarus,BLR,2011,0
Belarus,BLR,2012,0
Belarus,BLR,2013,0
Belize,BLZ,1981,6761625
Belize,BLZ,1984,9575848
Belize,BLZ,1987,9950338
Belize,BLZ,1990,8156253.5
Belize,BLZ,1993,6962740
Belize,BLZ,1996,7820599.5
Belize,BLZ,1999,10352568
Belize,BLZ,2002,9574461
Belize,BLZ,2005,11165350
Belize,BLZ,2008,13866532.5
Belize,BLZ,2010,13492736
Belize,BLZ,2011,13525330.5
Belize,BLZ,2012,13699399
Belize,BLZ,2013,13157082
Benin,BEN,1981,531688418.99999994
Benin,BEN,1984,612477008
Benin,BEN,1987,680309630
Benin,BEN,1990,753834500
Benin,BEN,1993,816513030
Benin,BEN,1996,872594988
Benin,BEN,1999,853039675
Benin,BEN,2002,836088454.5
Benin,BEN,2005,987072420
Benin,BEN,2008,1066227122.9999999
Benin,BEN,2010,1226044892
Benin,BEN,2011,1292052915
Benin,BEN,2012,1294268648
Benin,BEN,2013,1233853008
Bhutan,BTN,1981,222035121
Bhutan,BTN,1984,222541376
Bhutan,BTN,1987,214603575
Bhutan,BTN,1990,197580924
Bhutan,BTN,1993,154309298
Bhutan,BTN,1996,115195204.5
Bhutan,BTN,1999,86659760
Bhutan,BTN,2002,58628490
Bhutan,BTN,2005,20194720
Bhutan,BTN,2008,4258783.5
Bhutan,BTN,2010,5542452
Bhutan,BTN,2011,3948789
Bhutan,BTN,2012,2104079
Bhutan,BTN,2013,1196287.5
Bolivia,BOL,1981,36034953.5
Bolivia,BOL,1984,82778934
Bolivia,BOL,1987,67200150
Bolivia,BOL,1990,71361150
Bolivia,BOL,1993,252591424.5
Bolivia,BOL,1996,493622204
Bolivia,BOL,1999,870212122
Bolivia,BOL,2002,848826662.5
Bolivia,BOL,2005,695215719
Bolivia,BOL,2008,400121760
Bolivia,BOL,2010,343976000
Bolivia,BOL,2011,255152520
Bolivia,BOL,2012,344419840
Bolivia,BOL,2013,274071200
Bosnia and Herzegovina,BIH,1981,4358647.5
Bosnia and Herzegovina,BIH,1984,3894696
Bosnia and Herzegovina,BIH,1987,3736578
Bosnia and Herzegovina,BIH,1990,3769866
Bosnia and Herzegovina,BIH,1993,4306635
Bosnia and Herzegovina,BIH,1996,8719375.5
Bosnia and Herzegovina,BIH,1999,3932145
Bosnia and Herzegovina,BIH,2002,2642235
Bosnia and Herzegovina,BIH,2005,1062442
Bosnia and Herzegovina,BIH,2008,532608
Bosnia and Herzegovina,BIH,2010,532608
Bosnia and Herzegovina,BIH,2011,531221
Bosnia and Herzegovina,BIH,2012,531221
Bosnia and Herzegovina,BIH,2013,529834
Botswana,BWA,1981,181290609
Botswana,BWA,1984,153769755
Botswana,BWA,1987,145052460
Botswana,BWA,1990,122308434
Botswana,BWA,1993,139497525
Botswana,BWA,1996,139790182
Botswana,BWA,1999,129735818.99999999
Botswana,BWA,2002,143625930.5
Botswana,BWA,2005,117381810
Botswana,BWA,2008,72818193.5
Botswana,BWA,2010,74211435
Botswana,BWA,2011,69282037
Botswana,BWA,2012,66471975
Botswana,BWA,2013,57903089
Brazil,BRA,1981,8546232823
Brazil,BRA,1984,11221634460
Brazil,BRA,1987,7369147644
Brazil,BRA,1990,8593946316
Brazil,BRA,1993,9368169716
Brazil,BRA,1996,7038622770
Brazil,BRA,1999,6472286398
Brazil,BRA,2002,6064459853
Brazil,BRA,2005,5071582144
Brazil,BRA,2008,3944131454
Brazil,BRA,2010,3980571412
Brazil,BRA,2011,4074476166
Brazil,BRA,2012,3481037120
Brazil,BRA,2013,3923824387
Bulgaria,BGR,1981,3699129
Bulgaria,BGR,1984,3106880
Bulgaria,BGR,1987,3110347.5
Bulgaria,BGR,1990,4233124
Bulgaria,BGR,1993,11160495.5
Bulgaria,BGR,1996,10435788
Bulgaria,BGR,1999,33023083
Bulgaria,BGR,2002,14190397
Bulgaria,BGR,2005,6977997
Bulgaria,BGR,2008,19218965.5
Bulgaria,BGR,2010,31817780
Bulgaria,BGR,2011,47404192.5
Bulgaria,BGR,2012,39035034.5
Bulgaria,BGR,2013,39325611
Burkina Faso,BFA,1981,2526066122
Burkina Faso,BFA,1984,2718601833
Burkina Faso,BFA,1987,2788674460
Burkina Faso,BFA,1990,3034094401
Burkina Faso,BFA,1993,3191587558
Burkina Faso,BFA,1996,3260669173
Burkina Faso,BFA,1999,2859189540
Burkina Faso,BFA,2002,2471703350
Burkina Faso,BFA,2005,2087508511
Burkina Faso,BFA,2008,2003552014
Burkina Faso,BFA,2010,1869797363
Burkina Faso,BFA,2011,1701539006
Burkina Faso,BFA,2012,1524434363
Burkina Faso,BFA,2013,1447456556
Burundi,BDI,1981,1147359688
Burundi,BDI,1984,1334133108
Burundi,BDI,1987,1323249319
Burundi,BDI,1990,1448057127
Burundi,BDI,1993,1607324950
Burundi,BDI,1996,1891588520
Burundi,BDI,1999,2035636098
Burundi,BDI,2002,1943481044
Burundi,BDI,2005,1960005762
Burundi,BDI,2008,1942042725
Burundi,BDI,2010,2079681670
Burundi,BDI,2011,2131181674
Burundi,BDI,2012,2184771886
Burundi,BDI,2013,2221849170
Cambodia,KHM,1981,555417908.5
Cambodia,KHM,1984,540006258
Cambodia,KHM,1987,518812204.5
Cambodia,KHM,1990,491751834.5
Cambodia,KHM,1993,469274806
Cambodia,KHM,1996,432558142
Cambodia,KHM,1999,433529042
Cambodia,KHM,2002,408022112
Cambodia,KHM,2005,293749956
Cambodia,KHM,2008,178718417.5
Cambodia,KHM,2010,64731290
Cambodia,KHM,2011,55649907.5
Cambodia,KHM,2012,28796894
Cambodia,KHM,2013,23007556
Cameroon,CMR,1981,435767660
Cameroon,CMR,1984,338003578
Cameroon,CMR,1987,338099281
Cameroon,CMR,1990,766741922
Cameroon,CMR,1993,1473216614
Cameroon,CMR,1996,1518437668
Cameroon,CMR,1999,906746395.5
Cameroon,CMR,2002,742436134
Cameroon,CMR,2005,950530518
Cameroon,CMR,2008,1187532063
Cameroon,CMR,2010,1415065252
Cameroon,CMR,2011,1416337824
Cameroon,CMR,2012,1387959804
Cameroon,CMR,2013,1303062921
Cape Verde,CPV,1981,63391448
Cape Verde,CPV,1984,60840755
Cape Verde,CPV,1987,55391232
Cape Verde,CPV,1990,53901594
Cape Verde,CPV,1993,49266240
Cape Verde,CPV,1996,30347560
Cape Verde,CPV,1999,18936017.5
Cape Verde,CPV,2002,14068341
Cape Verde,CPV,2005,9843539
Cape Verde,CPV,2008,5392656
Cape Verde,CPV,2010,5708892
Cape Verde,CPV,2011,5270600
Cape Verde,CPV,2012,5305275
Cape Verde,CPV,2013,5446749
Central African Republic,CAF,1981,852938424
Central African Republic,CAF,1984,937390080
Central African Republic,CAF,1987,1031945338
Central African Republic,CAF,1990,1130360616
Central African Republic,CAF,1993,1266495360
Central African Republic,CAF,1996,1169756964
Central African Republic,CAF,1999,987956632.5
Central African Republic,CAF,2002,820740606
Central African Republic,CAF,2005,876780954
Central African Republic,CAF,2008,981873944
Central African Republic,CAF,2010,1009342092
Central African Republic,CAF,2011,1015978887
Central African Republic,CAF,2012,1014056505
Central African Republic,CAF,2013,1545000105
Chad,TCD,1981,1278814000
Chad,TCD,1984,1177773824
Chad,TCD,1987,1221597476
Chad,TCD,1990,1263537582
Chad,TCD,1993,1578627920
Chad,TCD,1996,1681010712
Chad,TCD,1999,1844454792
Chad,TCD,2002,1898040150
Chad,TCD,2005,953952247
Chad,TCD,2008,1229141369
Chad,TCD,2010,1179303685
Chad,TCD,2011,1304244645
Chad,TCD,2012,1245570384
Chad,TCD,2013,1244815163
Chile,CHL,1981,174720390
Chile,CHL,1984,283541636
Chile,CHL,1987,267211098
Chile,CHL,1990,246951189
Chile,CHL,1993,160548024
Chile,CHL,1996,121834080
Chile,CHL,1999,145440820
Chile,CHL,2002,125013084
Chile,CHL,2005,84856660
Chile,CHL,2008,81982102.5
Chile,CHL,2010,76721905
Chile,CHL,2011,59641000
Chile,CHL,2012,56681835.5
Chile,CHL,2013,54862785
China,CHN,1981,297692566600
China,CHN,1984,211470136000
China,CHN,1987,163362172100
China,CHN,1990,191853864400
China,CHN,1993,168107942400
China,CHN,1996,110105968600
China,CHN,1999,114938957600
China,CHN,2002,90838042020
China,CHN,2005,44664013110
China,CHN,2008,35551821180
China,CHN,2010,24676870140
China,CHN,2011,16405913130
China,CHN,2012,12832933170
China,CHN,2013,3294700605
Colombia,COL,1981,923063757
Colombia,COL,1984,1003976483
Colombia,COL,1987,1044488672
Colombia,COL,1990,1076610899
Colombia,COL,1993,1338080510
Colombia,COL,1996,2301005260
Colombia,COL,1999,2949300156
Colombia,COL,2002,1703781785
Colombia,COL,2005,1116804078
Colombia,COL,2008,1388761490
Colombia,COL,2010,945811944
Colombia,COL,2011,811070442
Colombia,COL,2012,942827120
Colombia,COL,2013,814191192
Comoros,COM,1981,6036224
Comoros,COM,1984,5461312.5
Comoros,COM,1987,6509191
Comoros,COM,1990,8272068.000000001
Comoros,COM,1993,9705532.5
Comoros,COM,1996,14408156
Comoros,COM,1999,15915131.5
Comoros,COM,2002,14399834
Comoros,COM,2005,15564914
Comoros,COM,2008,18446406.5
Comoros,COM,2010,19660725
Comoros,COM,2011,20172528
Comoros,COM,2012,20148949
Comoros,COM,2013,20180850
Congo,COG,1981,262496685
Congo,COG,1984,188364309
Congo,COG,1987,272490020
Congo,COG,1990,309117222.5
Congo,COG,1993,354446463
Congo,COG,1996,417681180
Congo,COG,1999,503472678
Congo,COG,2002,481326449
Congo,COG,2005,483993650
Congo,COG,2008,532549052.5
Congo,COG,2010,418301169
Congo,COG,2011,430766138
Congo,COG,2012,434664301.5
Congo,COG,2013,438707406.5
Costa Rica,CRI,1981,278478392.5
Costa Rica,CRI,1984,166023900
Costa Rica,CRI,1987,121610079.5
Costa Rica,CRI,1990,113727065
Costa Rica,CRI,1993,105622824
Costa Rica,CRI,1996,105356520
Costa Rica,CRI,1999,79832252.5
Costa Rica,CRI,2002,96856984
Costa Rica,CRI,2005,59831712.5
Costa Rica,CRI,2008,47619177.5
Costa Rica,CRI,2010,23034602.5
Costa Rica,CRI,2011,21373670
Costa Rica,CRI,2012,21928470
Costa Rica,CRI,2013,19598310
Cote d'Ivoire,CIV,1981,80197727
Cote d'Ivoire,CIV,1984,138897647.5
Cote d'Ivoire,CIV,1987,110009905
Cote d'Ivoire,CIV,1990,319872020.5
Cote d'Ivoire,CIV,1993,610418700
Cote d'Ivoire,CIV,1996,556117650
Cote d'Ivoire,CIV,1999,807021789
Cote d'Ivoire,CIV,2002,840449182.5
Cote d'Ivoire,CIV,2005,1127812004
Cote d'Ivoire,CIV,2008,1375751430
Cote d'Ivoire,CIV,2010,1418351748
Cote d'Ivoire,CIV,2011,1638615670
Cote d'Ivoire,CIV,2012,1460358430
Cote d'Ivoire,CIV,2013,1331420136
Croatia,HRV,1981,1598517.5
Croatia,HRV,1984,1622790
Croatia,HRV,1987,1643595
Croatia,HRV,1990,4640902
Croatia,HRV,1993,8044600.000000001
Croatia,HRV,1996,10586971
Croatia,HRV,1999,7573020
Croatia,HRV,2002,923742
Croatia,HRV,2005,0
Croatia,HRV,2008,0
Croatia,HRV,2010,0
Croatia,HRV,2011,15137718
Croatia,HRV,2012,16879096.5
Croatia,HRV,2013,16839567
Czech Republic,CZE,1981,0
Czech Republic,CZE,1984,0
Czech Republic,CZE,1987,0
Czech Republic,CZE,1990,0
Czech Republic,CZE,1993,716385.5
Czech Republic,CZE,1996,10735380
Czech Republic,CZE,1999,6416262
Czech Republic,CZE,2002,2829480
Czech Republic,CZE,2005,0
Czech Republic,CZE,2008,2879412
Czech Republic,CZE,2010,1452189
Czech Republic,CZE,2011,4369050
Czech Republic,CZE,2012,5830948
Czech Republic,CZE,2013,5830948
Democratic Republic of Congo,COD,1981,4836115315
Democratic Republic of Congo,COD,1984,5309808410
Democratic Republic of Congo,COD,1987,5816223608
Democratic Republic of Congo,COD,1990,7925612044
Democratic Republic of Congo,COD,1993,13633468650
Democratic Republic of Congo,COD,1996,16588574089.999998
Democratic Republic of Congo,COD,1999,19939827540
Democratic Republic of Congo,COD,2002,23325943930
Democratic Republic of Congo,COD,2005,24579908440
Democratic Republic of Congo,COD,2008,22851456780
Democratic Republic of Congo,COD,2010,22590318660
Democratic Republic of Congo,COD,2011,21442790450
Democratic Republic of Congo,COD,2012,20132145500
Democratic Republic of Congo,COD,2013,19144258210
Djibouti,DJI,1981,692806.5
Djibouti,DJI,1984,1497960
Djibouti,DJI,1987,3737965
Djibouti,DJI,1990,9247129
Djibouti,DJI,1993,17176608
Djibouti,DJI,1996,25648404
Djibouti,DJI,1999,29887769.5
Djibouti,DJI,2002,31363537.5
Djibouti,DJI,2005,36729147
Djibouti,DJI,2008,39883185
Djibouti,DJI,2010,43170375
Djibouti,DJI,2011,44797326
Djibouti,DJI,2012,46273787.5
Djibouti,DJI,2013,44790391
Dominican Republic,DOM,1981,680523228
Dominican Republic,DOM,1984,702394137.5
Dominican Republic,DOM,1987,706490642
Dominican Republic,DOM,1990,588556806
Dominican Republic,DOM,1993,82329546
Dominican Republic,DOM,1996,103579773
Dominican Republic,DOM,1999,111077895
Dominican Republic,DOM,2002,119410297.5
Dominican Republic,DOM,2005,108294186
Dominican Republic,DOM,2008,64847798
Dominican Republic,DOM,2010,41193900
Dominican Republic,DOM,2011,50081796
Dominican Republic,DOM,2012,47912528
Dominican Republic,DOM,2013,39923408
Ecuador,ECU,1981,539486133
Ecuador,ECU,1984,633687012
Ecuador,ECU,1987,656189700
Ecuador,ECU,1990,668357851
Ecuador,ECU,1993,626490562.5
Ecuador,ECU,1996,590495832
Ecuador,ECU,1999,839301440
Ecuador,ECU,2002,687961015.5
Ecuador,ECU,2005,541229592
Ecuador,ECU,2008,396834570
Ecuador,ECU,2010,295087717.5
Ecuador,ECU,2011,272657847
Ecuador,ECU,2012,263066741.99999997
Ecuador,ECU,2013,186795612
El Salvador,SLV,1981,336666510
El Salvador,SLV,1984,375126633
El Salvador,SLV,1987,395395557.5
El Salvador,SLV,1990,389937712.5
El Salvador,SLV,1993,363126309
El Salvador,SLV,1996,362972352
El Salvador,SLV,1999,357151113
El Salvador,SLV,2002,225524813
El Salvador,SLV,2005,142358212.5
El Salvador,SLV,2008,82803900
El Salvador,SLV,2010,97597642
El Salvador,SLV,2011,44547666
El Salvador,SLV,2012,41253541
El Salvador,SLV,2013,31253271
Estonia,EST,1981,516657.5
Estonia,EST,1984,527060
Estonia,EST,1987,537462.5
Estonia,EST,1990,2830867
Estonia,EST,1993,5063243.5
Estonia,EST,1996,787816
Estonia,EST,1999,1818357
Estonia,EST,2002,2871090
Estonia,EST,2005,8613270
Estonia,EST,2008,3903018
Estonia,EST,2010,9131314.5
Estonia,EST,2011,10791553.5
Estonia,EST,2012,11076582
Estonia,EST,2013,11076582
Ethiopia,ETH,1981,4657788032
Ethiopia,ETH,1984,5403319950
Ethiopia,ETH,1987,5860468908
Ethiopia,ETH,1990,7379175654
Ethiopia,ETH,1993,10399581750
Ethiopia,ETH,1996,9079390768
Ethiopia,ETH,1999,7954816023
Ethiopia,ETH,2002,6306958078
Ethiopia,ETH,2005,4468151844
Ethiopia,ETH,2008,5064444642
Ethiopia,ETH,2010,5471129686
Ethiopia,ETH,2011,5060214292
Ethiopia,ETH,2012,4424216538
Ethiopia,ETH,2013,3659216688
Fiji,FJI,1981,8564725
Fiji,FJI,1984,13010060
Fiji,FJI,1987,16976880
Fiji,FJI,1990,11137610
Fiji,FJI,1993,10804730
Fiji,FJI,1996,8005763.999999999
Fiji,FJI,1999,6853167
Fiji,FJI,2002,6312237
Fiji,FJI,2005,4663094
Fiji,FJI,2008,4602066
Fiji,FJI,2010,4711639
Fiji,FJI,2011,5611108.5
Fiji,FJI,2012,5430105
Fiji,FJI,2013,4577100
Gabon,GAB,1981,4265025
Gabon,GAB,1984,4325359.5
Gabon,GAB,1987,13304104
Gabon,GAB,1990,8037665.000000001
Gabon,GAB,1993,9143104
Gabon,GAB,1996,8467635
Gabon,GAB,1999,12150120
Gabon,GAB,2002,16550377.5
Gabon,GAB,2005,17705055
Gabon,GAB,2008,23651124
Gabon,GAB,2010,22641388
Gabon,GAB,2011,19942286
Gabon,GAB,2012,18534481
Gabon,GAB,2013,16935270
Gambia,GMB,1981,144309721.5
Gambia,GMB,1984,157722705
Gambia,GMB,1987,195567000
Gambia,GMB,1990,223817416
Gambia,GMB,1993,246062815.5
Gambia,GMB,1996,281415365
Gambia,GMB,1999,208461939
Gambia,GMB,2002,263733195.50000003
Gambia,GMB,2005,181652616
Gambia,GMB,2008,198700233
Gambia,GMB,2010,191507251
Gambia,GMB,2011,224277900
Gambia,GMB,2012,223180783
Gambia,GMB,2013,225521345.5
Georgia,GEO,1981,11234700
Georgia,GEO,1984,4165161.0000000005
Georgia,GEO,1987,6574380
Georgia,GEO,1990,73899360
Georgia,GEO,1993,662289032.5
Georgia,GEO,1996,38768037
Georgia,GEO,1999,214790820
Georgia,GEO,2002,167813130
Georgia,GEO,2005,156330157
Georgia,GEO,2008,138622328
Georgia,GEO,2010,174701665.5
Georgia,GEO,2011,166021126
Georgia,GEO,2012,133867692
Georgia,GEO,2013,88080048
Ghana,GHA,1981,881449596
Ghana,GHA,1984,1290792132
Ghana,GHA,1987,1263900976
Ghana,GHA,1990,1482316721
Ghana,GHA,1993,1657244467
Ghana,GHA,1996,1565822443
Ghana,GHA,1999,1400843647
Ghana,GHA,2002,1413609595
Ghana,GHA,2005,1308355713
Ghana,GHA,2008,1120757028
Ghana,GHA,2010,1010268608
Ghana,GHA,2011,821225362.5
Ghana,GHA,2012,733276386
