Entity,Code,Year, (tonnes)
China,CHN,2000,24210000
China,CHN,2001,24064000
China,CHN,2002,24615000
China,CHN,2003,27487000
China,CHN,2004,30670000
China,CHN,2005,32412999.999999996
China,CHN,2006,33262000
China,CHN,2007,32616999.999999996
China,CHN,2008,31229000
China,CHN,2009,31023000
China,CHN,2010,29854000
China,CHN,2011,29065000
India,IND,2000,5674000
India,IND,2001,5742000
India,IND,2002,5971000
India,IND,2003,6131000
India,IND,2004,6576000
India,IND,2005,6852000
India,IND,2006,7186000
India,IND,2007,7744000
India,IND,2008,8377000.000000001
India,IND,2009,9056000
India,IND,2010,9508000
India,IND,2011,10149000