Entity,Code,Year,Ozone concentration (1960 = 0) ((1960 = 0))
Antarctic,,1960,0
Antarctic,,1965,-1.2
Antarctic,,1970,-7.6
Antarctic,,1975,-20.9
Antarctic,,1980,-41.8
Antarctic,,1985,-66.5
Antarctic,,1990,-90.8
Antarctic,,1995,-110
Antarctic,,2000,-121.2
Antarctic,,2005,-123.2
Antarctic,,2010,-118.2
Antarctic,,2015,-108.6
Antarctic,,2020,-97.9
Antarctic,,2025,-88.4
Antarctic,,2030,-79.9
Antarctic,,2035,-72.2
Antarctic,,2040,-64.1
Antarctic,,2045,-56.1
Antarctic,,2050,-48.1
Antarctic,,2055,-40.8
Antarctic,,2060,-34.5
Antarctic,,2065,-29.8
Antarctic,,2070,-25.7
Antarctic,,2075,-22.1
Antarctic,,2080,-18.5
Antarctic,,2085,-15.4
Antarctic,,2090,-11.8
Antarctic,,2095,-9
Antarctic,,2100,-5.5
Arctic,,1960,0
Arctic,,1965,4.1
Arctic,,1970,2.8
Arctic,,1975,-0.5
Arctic,,1980,-5.8
Arctic,,1985,-12.2
Arctic,,1990,-18.9
Arctic,,1995,-24.4
Arctic,,2000,-27.4
Arctic,,2005,-27
Arctic,,2010,-23.9
Arctic,,2015,-18.8
Arctic,,2020,-12.8
Arctic,,2025,-6.4
Arctic,,2030,-1.9
Arctic,,2035,2.5
Arctic,,2040,6.2
Arctic,,2045,9.6
Arctic,,2050,12.9
Arctic,,2055,16
Arctic,,2060,19.4
Arctic,,2065,22.3
Arctic,,2070,24.8
Arctic,,2075,27.5
Arctic,,2080,30.2
Arctic,,2085,32.6
Arctic,,2090,34.4
Arctic,,2095,35.6
Arctic,,2100,37.4
Global,,1960,0
Global,,1965,0.4
Global,,1970,0
Global,,1975,-2.2
Global,,1980,-4.5
Global,,1985,-8.3
Global,,1990,-11.8
Global,,1995,-14.3
Global,,2000,-15.5
Global,,2005,-14.7
Global,,2010,-13.2
Global,,2015,-11.1
Global,,2020,-8.9
Global,,2025,-6.9
Global,,2030,-4.9
Global,,2035,-3.9
Global,,2040,-2.4
Global,,2045,-0.9
Global,,2050,0.3
Global,,2055,1.6
Global,,2060,2.2
Global,,2065,2.8
Global,,2070,3.1
Global,,2075,3.9
Global,,2080,4.5
Global,,2085,4.8
Global,,2090,5
Global,,2095,5.1
Global,,2100,5.3